acronym,name,count,density (cells/mm^3)
PRT,Pretectal region,3086.0,2968.021158932436
PS,Parastrial nucleus,296.5,6157.040882543803
PST,Preparasubthalamic nucleus,28.5,4526.0545905707195
PSTN,Parasubthalamic nucleus,347.0,4187.028657616893
PSV,Principal sensory nucleus of the trigeminal,385.0,698.3731081004479
PT,Parataenial nucleus,666.5,5807.488087134105
PTLp,Posterior parietal association areas,11058.5,9013.550687722874
PVH,Paraventricular hypothalamic nucleus,1033.0,10772.690239530717
PVHd,"Paraventricular hypothalamic nucleus, descending division",478.0,7306.42464771913
PVR,Periventricular region,8853.0,8576.930063578566
PVT,Paraventricular nucleus of the thalamus,4292.5,18903.185852886534
PVZ,Periventricular zone,4207.0,10625.414364640885
PVa,"Periventricular hypothalamic nucleus, anterior part",384.5,15227.722772277226
PVi,"Periventricular hypothalamic nucleus, intermediate part",834.5,8042.162324951061
PVp,"Periventricular hypothalamic nucleus, posterior part",704.0,10997.315108616058
PVpo,"Periventricular hypothalamic nucleus, preoptic part",680.5,9380.142149472324
PYR,Pyramus (VIII),1079.0,1721.6654200947394
Pa4,Paratrochlear nucleus,29.5,3658.9147286821703
Pa5,Paratrigeminal nucleus,235.5,4576.98147585788
PeF,Perifornical nucleus,437.5,4071.542823905773
PoT,Posterior triangular thalamic nucleus,179.0,1277.4308652988402
ProS,Prosubiculum,1887.5,2904.334864039622
RAmb,Midbrain raphe nuclei,2965.0,7850.405427767665
RCH,Retrochiasmatic area,184.5,2503.285986856053
RE,Nucleus of reuniens,942.5,4400.992266160806
RH,Rhomboid nucleus,445.5,9570.996978851963
RHP,Retrohippocampal region,43767.0,4732.790738146852
RL,Rostral linear nucleus raphe,647.0,22274.34104357181
RM,Nucleus raphe magnus,286.0,4346.710995013061
RN,Red nucleus,425.5,1079.05060030907
RO,Nucleus raphe obscurus,96.5,4446.364290856731
RPA,Nucleus raphe pallidus,275.5,7362.004175365344
RPF,Retroparafascicular nucleus,102.5,3298.1397687280037
RPO,Nucleus raphe pontis,335.0,6976.895541815815
RR,"Midbrain reticular nucleus, retrorubral area",110.5,1597.4700700248475
RSP,Retrosplenial area,47652.5,9064.31114730516
RSPagl,"Retrosplenial area, lateral agranular part",6679.0,5673.090194829325
RSPagl1,"Retrosplenial area, lateral agranular part, layer 1",2292.0,9062.086859825786
RSPagl2/3,"Retrosplenial area, lateral agranular part, layer 2/3",2061.5,6149.715670737391
RSPagl5,"Retrosplenial area, lateral agranular part, layer 5",1506.5,4115.944503735325
RSPagl6a,"Retrosplenial area, lateral agranular part, layer 6a",777.5,3787.774986678846
RSPagl6b,"Retrosplenial area, lateral agranular part, layer 6b",41.5,2319.6506550218337
RSPd,"Retrosplenial area, dorsal part",14799.5,7804.035626889899
RSPd1,"Retrosplenial area, dorsal part, layer 1",4685.5,11365.245404585938
RSPd2/3,"Retrosplenial area, dorsal part, layer 2/3",4372.0,8978.276913203914
RSPd5,"Retrosplenial area, dorsal part, layer 5",4433.0,7365.316718587746
RSPd6a,"Retrosplenial area, dorsal part, layer 6a",1274.5,3360.1647785787845
RSPd6b,"Retrosplenial area, dorsal part, layer 6b",34.5,2156.25
RSPv,"Retrosplenial area, ventral part",26174.0,11987.433895563936
RSPv1,"Retrosplenial area, ventral part, layer 1",5539.5,11453.382438457065
RSPv2/3,"Retrosplenial area, ventral part, layer 2/3",11219.5,22038.180590510095
RSPv5,"Retrosplenial area, ventral part, layer 5",8092.0,9668.944400881222
RSPv6a,"Retrosplenial area, ventral part, layer 6a",1249.5,3788.8752013645408
RSPv6b,"Retrosplenial area, ventral part, layer 6b",73.5,3060.507482108003
RT,Reticular nucleus of the thalamus,784.0,1083.2469775474956
SAG,Nucleus sagulum,12.5,253.96825396825398
SBPV,Subparaventricular zone,497.0,8965.050732807214
SCH,Suprachiasmatic nucleus,677.5,20481.813887576758
SCO,Subcommissural organ,23.5,3166.315789473684
SCdg,"Superior colliculus, motor related, deep gray layer",1851.5,3092.8405502048918
SCdw,"Superior colliculus, motor related, deep white layer",406.5,2433.9040134717934
SCig,"Superior colliculus, motor related, intermediate gray layer",4295.5,4209.211170994611
SCiw,"Superior colliculus, motor related, intermediate white layer",3456.5,3299.1215903837265
SCm,"Superior colliculus, motor related",10010.0,3532.285366136067
SCop,"Superior colliculus, optic layer",4583.5,14232.400174664015
SCs,"Superior colliculus, sensory related",15010.0,13883.685975257256
SCsg,"Superior colliculus, superficial gray layer",7572.0,13133.364047806173
SCzo,"Superior colliculus, zonal layer",2854.5,15638.418079096045
SEZ,subependymal zone,325.5,4729.1713961407495
SF,Septofimbrial nucleus,736.5,3060.779220779221
SFO,Subfornical organ,33.0,2953.846153846154
SG,Supragenual nucleus,38.0,4335.115864527628
SGN,Suprageniculate nucleus,217.5,2393.3975240715267
SH,Septohippocampal nucleus,87.5,4733.7278106508875
SI,Substantia innominata,3721.5,2457.982022518292
SIM,Simple lobule,4963.5,1742.7828434115672
SLC,Subceruleus nucleus,5.0,376.0282021151586
SLD,Sublaterodorsal nucleus,63.0,2688.0
SMT,Submedial nucleus of the thalamus,500.0,3248.4011775454264
SNc,"Substantia nigra, compact part",53.0,535.8609794628752
SNr,"Substantia nigra, reticular part",284.0,366.85841154506005
SO,Supraoptic nucleus,94.0,3984.1059602649007
SOC,Superior olivary complex,1894.5,4214.829492126395
SOCl,"Superior olivary complex, lateral part",454.0,2687.3843877173513
SOCm,"Superior olivary complex, medial part",42.5,435.8275917320942
SPA,Subparafascicular area,533.5,7934.9291192191495
SPF,Subparafascicular nucleus,499.0,4895.156345800123
SPFm,"Subparafascicular nucleus, magnocellular part",332.5,9538.323621694308
SPFp,"Subparafascicular nucleus, parvicellular part",166.5,2482.1802935010483
SPIV,Spinal vestibular nucleus,709.0,1892.6381647549529
SPVC,"Spinal nucleus of the trigeminal, caudal part",4669.0,5555.646450749266
SPVI,"Spinal nucleus of the trigeminal, interpolar part",1591.5,1723.8017871649063
SPVO,"Spinal nucleus of the trigeminal, oral part",374.5,747.5749352796232
SS,Somatosensory areas,119306.0,7158.639634360717
SSp,Primary somatosensory area,93813.0,7717.780622869395
SSp-bfd,"Primary somatosensory area, barrel field",19970.5,6350.898638005654
SSp-bfd1,"Primary somatosensory area, barrel field, layer 1",3903.0,9304.626387543769
SSp-bfd2/3,"Primary somatosensory area, barrel field, layer 2/3",4626.0,6102.147656539841
SSp-bfd4,"Primary somatosensory area, barrel field, layer 4",3179.5,4957.318261547456
SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",4347.5,7195.613944346747
SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a",3685.5,5680.924855491329
SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",229.0,3152.505915250592
SSp-ll,"Primary somatosensory area, lower limb",6206.0,5276.790221867943
SSp-ll1,"Primary somatosensory area, lower limb, layer 1",2323.5,15493.227755782455
SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3",1182.5,3657.0986759447187
SSp-ll4,"Primary somatosensory area, lower limb, layer 4",726.5,5328.4437313774915
SSp-ll5,"Primary somatosensory area, lower limb, layer 5",1137.0,4094.530722484808
SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",785.5,2977.8462267503846
SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b",51.0,2042.5531914893618
SSp-m,"Primary somatosensory area, mouth",25969.5,8357.039420756237
SSp-m1,"Primary somatosensory area, mouth, layer 1",2488.5,6344.673731176798
SSp-m2/3,"Primary somatosensory area, mouth, layer 2/3",6480.0,8643.42135428607
SSp-m4,"Primary somatosensory area, mouth, layer 4",3979.5,8405.821974322585
SSp-m5,"Primary somatosensory area, mouth, layer 5",5861.5,9620.84530160033
SSp-m6a,"Primary somatosensory area, mouth, layer 6a",6857.5,8306.457718222424
SSp-m6b,"Primary somatosensory area, mouth, layer 6b",302.5,5275.204359673025
SSp-n,"Primary somatosensory area, nose",17256.0,11431.126568128184
SSp-n1,"Primary somatosensory area, nose, layer 1",1331.5,6574.801327058098
SSp-n2/3,"Primary somatosensory area, nose, layer 2/3",3494.0,10913.421181063935
SSp-n4,"Primary somatosensory area, nose, layer 4",3921.0,14312.667541208006
SSp-n5,"Primary somatosensory area, nose, layer 5",3673.5,12956.957839625242
SSp-n6a,"Primary somatosensory area, nose, layer 6a",4663.0,11583.744129177501
SSp-n6b,"Primary somatosensory area, nose, layer 6b",173.0,6437.209302325582
SSp-tr,"Primary somatosensory area, trunk",2994.5,4275.662048501885
SSp-tr1,"Primary somatosensory area, trunk, layer 1",955.5,9357.612853863811
SSp-tr2/3,"Primary somatosensory area, trunk, layer 2/3",540.0,2553.0028809928344
SSp-tr4,"Primary somatosensory area, trunk, layer 4",236.0,3079.9347471451874
SSp-tr5,"Primary somatosensory area, trunk, layer 5",808.0,4571.02448510563
SSp-tr6a,"Primary somatosensory area, trunk, layer 6a",418.5,3600.483936012905
SSp-tr6b,"Primary somatosensory area, trunk, layer 6b",36.5,2133.3333333333335
SSp-ul,"Primary somatosensory area, upper limb",14890.0,7894.361880146462
SSp-ul1,"Primary somatosensory area, upper limb, layer 1",2879.5,12451.050604688871
SSp-ul2/3,"Primary somatosensory area, upper limb, layer 2/3",4370.5,8931.34938374098
SSp-ul4,"Primary somatosensory area, upper limb, layer 4",2054.0,7850.462824723798
SSp-ul5,"Primary somatosensory area, upper limb, layer 5",2918.0,7365.199558289951
SSp-ul6a,"Primary somatosensory area, upper limb, layer 6a",2554.5,5428.969914325563
SSp-ul6b,"Primary somatosensory area, upper limb, layer 6b",113.5,3052.1008403361348
SSp-un,"Primary somatosensory area, unassigned",6526.5,10339.0099009901
SSp-un1,"Primary somatosensory area, unassigned, layer 1",986.0,11877.282138151706
SSp-un2/3,"Primary somatosensory area, unassigned, layer 2/3",2073.0,12492.65536723164
SSp-un4,"Primary somatosensory area, unassigned, layer 4",919.0,9789.613848202396
SSp-un5,"Primary somatosensory area, unassigned, layer 5",1410.0,10946.142649199417
SSp-un6a,"Primary somatosensory area, unassigned, layer 6a",1101.0,7468.362480127185
SSp-un6b,"Primary somatosensory area, unassigned, layer 6b",37.5,3076.923076923077
SSs,Supplemental somatosensory area,25493.0,5651.82539655047
SSs1,"Supplemental somatosensory area, layer 1",2861.0,4588.957670233829
SSs2/3,"Supplemental somatosensory area, layer 2/3",4570.5,4262.159405507796
SSs4,"Supplemental somatosensory area, layer 4",4311.5,7399.731831590239
SSs5,"Supplemental somatosensory area, layer 5",7316.0,6694.844004689868
SSs6a,"Supplemental somatosensory area, layer 6a",6020.5,5809.365859542263
SSs6b,"Supplemental somatosensory area, layer 6b",413.5,4014.5631067961167
STN,Subthalamic nucleus,212.0,2174.7074851739058
STR,Striatum,59192.5,2631.898162203772
STRd,Striatum dorsal region,13456.0,1034.266416221903
STRv,Striatum ventral region,17982.5,4158.464495801356
SUB,Subiculum,2763.5,2626.8621247902092
SUM,Supramammillary nucleus,719.0,5613.761132121508
SUT,Supratrigeminal nucleus,376.0,2897.1827594509996
SUV,Superior vestibular nucleus,91.5,517.177426477082
Su3,Supraoculomotor periaqueductal gray,138.5,6590.334572490707
SubG,Subgeniculate nucleus,19.5,1429.5532646048111
TEa,Temporal association areas,11325.0,7301.667254319246
TEa1,"Temporal association areas, layer 1",2433.0,9217.000118385226
TEa2/3,"Temporal association areas, layer 2/3",2634.5,7564.967695620962
TEa4,"Temporal association areas, layer 4",1103.0,7073.346693386773
TEa5,"Temporal association areas, layer 5",2952.5,6203.952984437587
TEa6a,"Temporal association areas, layer 6a",1980.0,7514.677103718199
TEa6b,"Temporal association areas, layer 6b",222.0,5107.117181883536
TH,Thalamus,23521.5,2315.8811303600023
TM,Tuberomammillary nucleus,323.5,4503.806830541657
TMd,"Tuberomammillary nucleus, dorsal part",164.0,9255.73192239859
TMv,"Tuberomammillary nucleus, ventral part",159.5,2947.7331793242856
TR,Postpiriform transition area,2336.5,3342.1093802382493
TRN,Tegmental reticular nucleus,4731.0,13705.594785442696
TRS,Triangular nucleus of septum,683.5,3793.928881179532
TT,Taenia tecta,8776.5,12109.431928425138
TTd,"Taenia tecta, dorsal part",3949.5,10840.502637560578
TTv,"Taenia tecta, ventral part",4827.0,13392.058262528175
TU,Tuberal nucleus,628.0,2400.095545204825
UVU,Uvula (IX),1608.5,1461.1519573054761
V,Motor nucleus of trigeminal,444.0,2507.367863760699
V3,third ventricle,4774.5,10230.614704700683
V4,fourth ventricle,2902.5,5977.603295147381
V4r,lateral recess,737.5,3182.093979639992
VAL,Ventral anterior-lateral complex of the thalamus,41.0,100.42865890998164
VCO,Ventral cochlear nucleus,1408.0,2772.5063073041656
VENT,Ventral group of the dorsal thalamus,950.5,391.24534515027364
VERM,Vermal regions,20173.5,1983.2383012190326
VI,Abducens nucleus,47.0,3085.1282051282055
VII,Facial motor nucleus,400.5,872.994789005824
VIIIn,vestibulocochlear nerve,2031.5,2446.577095329494
VIIn,facial nerve,44.0,814.3435511856565
VIS,Visual areas,45433.5,6754.011999414663
VISC,Visceral area,6726.0,5717.716441303828
VISC1,"Visceral area, layer 1",994.5,5958.434750046807
VISC2/3,"Visceral area, layer 2/3",707.5,2609.9487002132687
VISC4,"Visceral area, layer 4",403.5,4428.742925741724
VISC5,"Visceral area, layer 5",2335.0,6618.832491806183
VISC6a,"Visceral area, layer 6a",2099.5,7802.566633761105
VISC6b,"Visceral area, layer 6b",186.0,7325.538461538461
VISa,Anterior area,4914.5,6835.930538349525
VISa1,"Anterior area, layer 1",1445.0,12047.94163626889
VISa2/3,"Anterior area, layer 2/3",987.0,4635.503045424524
VISa4,"Anterior area, layer 4",621.0,8000.0
VISa5,"Anterior area, layer 5",1278.0,7202.536104262063
VISa6a,"Anterior area, layer 6a",541.5,4863.317429132752
VISa6b,"Anterior area, layer 6b",42.0,2136.724960254372
VISal,Anterolateral visual area,2351.5,6233.008904535101
VISal1,"Anterolateral visual area, layer 1",305.5,5240.4181184669
VISal2/3,"Anterolateral visual area, layer 2/3",544.0,5493.2155254023355
VISal4,"Anterolateral visual area, layer 4",440.0,8451.38055222089
VISal5,"Anterolateral visual area, layer 5",707.0,6963.373345644814
VISal6a,"Anterolateral visual area, layer 6a",311.0,5617.837990403612
VISal6b,"Anterolateral visual area, layer 6b",44.0,4005.689900426743
VISam,Anteromedial visual area,2115.5,5349.559445256627
VISam1,"Anteromedial visual area, layer 1",789.5,11688.179504973397
VISam2/3,"Anteromedial visual area, layer 2/3",325.0,3130.1730624529728
VISam4,"Anteromedial visual area, layer 4",99.0,3286.3070539419086
VISam5,"Anteromedial visual area, layer 5",456.0,4018.7276232442855
VISam6a,"Anteromedial visual area, layer 6a",374.0,5486.133394453357
VISam6b,"Anteromedial visual area, layer 6b",72.0,5847.715736040609
VISl,Lateral visual area,3598.0,5871.140460467607
VISl1,"Lateral visual area, layer 1",723.0,7824.146094014204
VISl2/3,"Lateral visual area, layer 2/3",977.0,6473.547986333988
VISl4,"Lateral visual area, layer 4",515.5,5752.746294681779
VISl5,"Lateral visual area, layer 5",856.0,5444.643212085073
VISl6a,"Lateral visual area, layer 6a",484.5,4674.103105215556
VISl6b,"Lateral visual area, layer 6b",42.0,2208.7099424815115
VISli,Laterointermediate area,2130.5,8648.484079665102
VISli1,"Laterointermediate area, layer 1",350.0,9380.234505862647
VISli2/3,"Laterointermediate area, layer 2/3",700.5,11987.165775401068
VISli4,"Laterointermediate area, layer 4",320.0,11209.633278598796
VISli5,"Laterointermediate area, layer 5",539.0,7254.679284963198
VISli6a,"Laterointermediate area, layer 6a",200.5,5071.936758893281
VISli6b,"Laterointermediate area, layer 6b",20.5,2494.2965779467677
VISp,Primary visual area,25427.5,7192.719590189657
VISp1,"Primary visual area, layer 1",4824.5,7644.2859972271735
VISp2/3,"Primary visual area, layer 2/3",6891.5,6891.392321994968
VISp4,"Primary visual area, layer 4",5361.0,10466.870042708968
VISp5,"Primary visual area, layer 5",5766.5,7430.757459831675
VISp6a,"Primary visual area, layer 6a",2371.5,4436.597486115171
VISp6b,"Primary visual area, layer 6b",212.5,2614.3790849673205
VISpl,Posterolateral visual area,1669.0,4217.308907138346
VISpl1,"Posterolateral visual area, layer 1",221.5,2347.408511342938
VISpl2/3,"Posterolateral visual area, layer 2/3",467.0,4479.616306954436
VISpl4,"Posterolateral visual area, layer 4",135.0,7552.447552447553
VISpl5,"Posterolateral visual area, layer 5",680.0,5598.86787598096
VISpl6a,"Posterolateral visual area, layer 6a",163.0,3041.399416909621
VISpl6b,"Posterolateral visual area, layer 6b",2.5,592.5925925925926
VISpm,posteromedial visual area,3040.0,5817.659898932512
VISpm1,"posteromedial visual area, layer 1",556.5,5899.619016067583
VISpm2/3,"posteromedial visual area, layer 2/3",746.0,5089.978678038379
VISpm4,"posteromedial visual area, layer 4",335.0,6802.030456852792
VISpm5,"posteromedial visual area, layer 5",862.0,6024.680572239817
VISpm6a,"posteromedial visual area, layer 6a",489.0,6467.451952882826
VISpm6b,"posteromedial visual area, layer 6b",51.5,3753.986332574032
VISpor,Postrhinal area,5101.5,7952.067806517609
VISpor1,"Postrhinal area, layer 1",1042.5,8319.201995012469
VISpor2/3,"Postrhinal area, layer 2/3",1767.0,9453.937468650727
VISpor4,"Postrhinal area, layer 4",407.5,13471.07438016529
VISpor5,"Postrhinal area, layer 5",1451.5,7536.5893233814695
VISpor6a,"Postrhinal area, layer 6a",415.5,4611.862643080125
VISpor6b,"Postrhinal area, layer 6b",17.5,1068.7022900763359
VISrl,Rostrolateral visual area,6144.0,12095.604294195451
VISrl1,"Rostrolateral area, layer 1",1172.0,13808.541973490424
VISrl2/3,"Rostrolateral area, layer 2/3",1517.5,11008.841532532306
VISrl4,"Rostrolateral area, layer 4",1199.0,16410.60735671514
VISrl5,"Rostrolateral area, layer 5",1597.0,13055.051730744668
VISrl6a,"Rostrolateral area, layer 6a",588.5,7775.392237819983
VISrl6b,"Rostrolateral area, layer 6b",70.0,4944.812362030905
VL,lateral ventricle,13543.0,7308.010758581149
VLPO,Ventrolateral preoptic nucleus,173.0,5147.373314737332
VM,Ventral medial nucleus of the thalamus,126.0,271.7622080679406
VMH,Ventromedial hypothalamic nucleus,1453.5,5281.553398058251
VMPO,Ventromedial preoptic nucleus,224.0,8943.231441048036
VNC,Vestibular nuclei,2752.0,1715.7942932850144
VP,Ventral posterior complex of the thalamus,604.5,426.48323301805675
VPL,Ventral posterolateral nucleus of the thalamus,210.0,479.4862647163753
VPLpc,"Ventral posterolateral nucleus of the thalamus, parvicellular part",15.5,313.5271807838179
VPM,Ventral posteromedial nucleus of the thalamus,218.0,264.99525166191836
VPMpc,"Ventral posteromedial nucleus of the thalamus, parvicellular part",161.0,1499.8544395924312
VS,ventricular systems,23274.0,7718.442979728889
VTA,Ventral tegmental area,345.0,1613.7991521707352
VTN,Ventral tegmental nucleus,38.5,2016.3666121112929
VeCB,Vestibulocerebellar nucleus,6.5,152.88496876148474
Vn,trigeminal nerve,4144.5,3472.877960642602
XII,Hypoglossal nucleus,954.0,6828.002683963319
Xi,Xiphoid thalamic nucleus,315.5,6891.467576791809
Xn,vagus nerve,15.5,3317.7257525083614
ZI,Zona incerta,1383.5,1536.7953346292695
aco,"anterior commissure, olfactory limb",1127.0,2961.7706237424545
act,"anterior commissure, temporal limb",229.0,2148.3435942538845
alv,alveus,1557.5,2234.6268522877576
amc,amygdalar capsule,353.0,4363.917326637049
ar,auditory radiation,605.0,2976.629766297663
arb,arbor vitae,2047.0,590.6262961426794
bic,brachium of the inferior colliculus,363.5,2977.2203736882516
bsc,brachium of the superior colliculus,174.5,1745.5454829634264
c,"central canal, spinal cord/medulla",4.5,9600.0
cVIIIn,cochlear nerve,1802.5,2556.3409931969773
cbc,cerebellar commissure,37.5,1103.9558417663295
cbf,cerebellum related fiber tracts,4607.0,938.3130935105272
cbp,cerebellar peduncles,2522.5,1788.8881501673204
cc,corpus callosum,7585.5,1941.4764070017156
ccb,"corpus callosum, body",2892.0,1897.7545370655184
ccg,genu of corpus callosum,927.0,2226.609119909927
ccs,"corpus callosum, splenium",534.5,1426.7600934267602
cett,cervicothalamic tract,1845.5,5375.568905880211
chpl,choroid plexus,6314.5,8675.812026362679
cic,inferior colliculus commissure,51.0,5637.305699481866
cing,cingulum bundle,1347.5,2128.1741233373637
cm,cranial nerves,39184.5,6336.768960594307
cpd,cerebal peduncle,188.5,427.1198442202159
csc,superior colliculus commissure,79.0,5592.920353982301
cst,corticospinal tract,1558.5,842.9592819836723
cuf,cuneate fascicle,34.0,3060.478199718706
das,dorsal acoustic stria,1.5,248.06201550387595
dc,dorsal column,34.0,3060.478199718706
df,dorsal fornix,0.5,26.315789473684212
dhc,dorsal hippocampal commissure,343.5,719.0893628156483
drt,dorsal roots,1845.5,5375.568905880211
dscp,superior cerebellar peduncle decussation,54.5,2240.205523442518
dtd,doral tegmental decussation,26.5,7438.596491228071
ec,external capsule,1568.0,3591.825047424747
ee,"corpus callosum, extreme capsule",257.0,5497.326203208557
em,external medullary lamina of the thalamus,34.5,620.39898847991
eps,extrapyramidal fiber systems,1617.0,2624.866839141683
epsc,cerebral nuclei related,70.0,1243.0632630410655
fa,"corpus callosum, anterior forceps",2323.0,2687.4909616775126
fi,fimbria,1583.5,2090.817189659797
fiber tracts,fiber tracts,68675.5,2923.2052334250707
fp,"corpus callosum, posterior forceps",652.0,957.283780683643
fr,fasciculus retroflexus,86.5,1033.9932760552858
fx,columns of the fornix,341.5,2534.3228200371054
fxpo,postcommissural fornix,351.0,2529.7297297297296
fxs,fornix system,3881.0,1827.9120426245918
gVIIn,genu of the facial nerve,16.5,1144.0953412784397
grey,Basic cell groups and regions,1294424.0,5752.793009301687
hbc,habenular commissure,209.0,8725.375081539465
hc,hippocampal commissures,388.5,760.1345154387037
icp,inferior cerebellar peduncle,936.5,2156.6694253535316
int,internal capsule,381.0,363.0300142925202
lfbs,lateral forebrain bundle system,11516.0,1658.6788614226816
lfbst,thalamus related,2372.0,1998.393997235569
ll,lateral lemniscus,663.5,1591.3059771407156
lot,"lateral olfactory tract, body",4162.0,9192.076747877698
lotd,dorsal limb,781.0,9945.085555113412
lotg,"lateral olfactory tract, general",4943.0,9303.37607340313
mcp,middle cerebellar peduncle,986.5,1807.6042143838754
mct,medial corticohypothalamic tract,9.5,2375.0
mfb,medial forebrain bundle,83.0,3328.3208020050124
mfbc,cerebrum related,6243.0,2004.4347677766964
mfbs,medial forebrain bundle system,7469.0,2118.5084072718246
mfbse,epithalamus related,626.0,2576.2973442222365
mfbsma,mammillary related,489.0,3757.9250720461096
mfsbshy,hypothalamus related,1226.0,2982.968369829684
ml,medial lemniscus,1811.5,5452.989040967029
mlf,medial longitudinal fascicle,396.0,5331.089608750526
moV,motor root of the trigeminal nerve,80.0,2687.6640419947507
mp,mammillary peduncle,14.5,894.8891031822566
mtg,mammillotegmental tract,246.5,7501.664289110793
mtt,mammillothalamic tract,129.0,2005.8309037900876
nst,nigrostriatal tract,70.0,1243.0632630410655
och,optic chiasm,1529.0,9883.446116553883
onl,olfactory nerve layer of main olfactory bulb,21637.0,10419.074992287839
opt,optic tract,451.5,1291.499061410566
or,optic radiation,1732.5,1866.7295195124414
pc,posterior commissure,134.0,4960.092539039907
pm,principal mammillary tract,99.0,5910.44776119403
py,pyramid,487.5,1739.1304347826085
pyd,pyramidal decussation,54.5,1527.814279456855
root,root,1392317.5,5496.758479870573
rust,rubrospinal tract,800.5,2643.413652546308
sAMY,Striatum-like amygdalar nuclei,8664.5,4280.284668941136
sV,sensory root of the trigeminal nerve,4064.5,3492.963798474595
scp,superior cerebelar peduncles,599.5,1393.8315108802265
sctd,dorsal spinocerebellar tract,32.0,435.18912027199315
sctv,ventral spinocerebellar tract,125.5,878.3902012248469
scwm,supra-callosal cerebral white matter,1787.5,3320.272819619794
sm,stria medullaris,330.5,2441.3665743305633
sptV,spinal tract of the trigeminal nerve,2615.0,3206.9289286603944
st,stria terminalis,432.5,2532.94289897511
stc,commissural branch of stria terminalis,89.0,5009.674582233949
sup,supraoptic commissures,28.0,2161.640530759952
tb,trapezoid body,723.0,4789.07058580004
ts,solitary tract,15.5,3317.7257525083614
tsp,tectospinal pathway,746.5,2905.9059667903416
tspc,crossed tectospinal pathway,719.5,2840.365161608685
tspd,direct tectospinal pathway,0.5,32000.0
uf,uncinate fascicle,20.0,470.93451066961
vVIIIn,vestibular nerve,229.0,1828.5714285714284
vhc,ventral hippocampal commissure,45.0,1347.0533208606178
von,vomeronasal nerve,96.5,14463.700234192038
vtd,ventral tegmental decussation,131.0,6906.095551894563
x,Nucleus x,106.5,3742.9983525535426
y,Nucleus y,26.5,2255.31914893617
